Name,Artist,Date (dd-mm-yyyy),Time,Venue,Latitude,Longitude,Genre,Energy (Scale of 1 to 10),Price,TAGS,Link
Ankhara,Ankhara,15-03-2024,21:00,Panda Club,40.4482,3.696,Metal,8,20.00,,https://www.tomaticket.es/artista/ankhara
Kaos Zone Fest,Soziedad Alkholika,22-3-2024,17:30,Wizink ,40.4239306,-3.6742277,Metal,9,35.00,,https://www.wegow.com/es/festivales/kaos-zone-fest#a_aid=conciertosclub
Greta Van Fleet,Greta Van Fleet,04-12-2023,20:45,Wizink ,40.4239306,-3.6742277,Rock,9,70.00,,https://www.ticketmaster.es/event/greta-van-fleet-starcatcher-world-tour-entradas/35237?clickId=wT1XNmSSwxyNWhnSQJRNWxz7UkFXSR0SxRW3380&irgwc=1&utm_source=1234554-Songkick&utm_medium=affiliate&utm_campaign=1234554
Hombres G,Hombres G,28-12-2023,21:00,Wizink ,40.4239306,-3.6742277,Rock,8,35.00,,https://www.ticketmaster.es/event/hombres-g-voy-a-pasarmelo-bien-sound-check-experience-entradas/33085?clickId=wT1XNmSSwxyNWhnSQJRNWxz7UkFXSRyc-31V2U0&irgwc=1&utm_source=1234554-Songkick&utm_medium=affiliate&utm_campaign=1234554
James Hype,James Hype,24-11-2023,00:00,Fitz Club,40.42937113,-3.715180932,Electronic,9,44.00,,https://www.songkick.com/concerts/41512699-james-hype-at-fitz-club
Richie Hawtin,Richie Hawtin,05-12-2023,22:00,Fabrik,40.26565615,-3.840453917,Electronic,8.5,30.00,,https://www.songkick.com/es/concerts/41423932-richie-hawtin-at-fabrik-madrid
Depeche Mode,Depeche Mode,12-03-2024,21:30,Wizink,40.4239306,-3.6742277,Electronic,9,50.00,,https://www.songkick.com/es/concerts/41276602-depeche-mode-at-wizink-center
Helmet,Helmet,30-11-2023,21:30,Sala Nazca,40.45158323,-3.69484899,Electronic,7,22.00,,https://www.songkick.com/es/concerts/41271738-helmet-at-sala-nazca
Beret,Beret,24-11-2023,21:00,Wizink,40.4239306,-3.6742277,Pop,7,40.00,,https://www.songkick.com/es/concerts/40750710-beret-at-wizink-center
Laura Pausini,Laura Pausini,27-01-2023,20:00,Wizink,40.4239306,-3.6742277,Pop,6,30.00,,https://www.songkick.com/es/concerts/41072234-laura-pausini-at-wizink-center
FJ elliott sharp's forth blood moon,Elliott,23-11-2023,20:00,Teatro Fernán Gómez,40.42499,-3.68987,Jazz,6,35.00,,https://tienda.madrid-destino.com/es/teatro-fernan-gomez-centro-cultural-de-la-villa/fj-elliott-sharps-fourth-blood-moon/
Roman Filiú,Roman Filiú,22-11-2023,20:00,Café Central ,40.41433913,-3.701882999,Jazz,7.5,30.00,,https://conciertos.club/madrid/conciertos/56016-roman-filiu/1700679600
Diego Araoz Trio: Homenae a Django Reinhart,Diego Araoz Trio,22-11-2023,21:30,Intruso Bar Madrid,40.4231286,-3.700215774,Jazz,8,6,,https://conciertos.club/madrid/conciertos/56260-diego-araoz-trio-homenaje-a-django-reinhart
Villanos del Jazz,The Cavemen,23-11-2023,21:00,Sala Villanos Madrid,40.40398693,-3.7000174,Jazz,5,20.00,,https://conciertos.club/madrid/conciertos/47534-villanos-del-jazz-the-cavemen
Lalo Lopez Limited Orchesta,Juancho Lopez,25-11-2023,22:30,Tempo Audiophile Club,40.425258,-3.711881275,Jazz,4,12.00,,https://conciertos.club/madrid/conciertos/56482-lalo-lopez-limited-orchestra-juancho-lopez
A Jerry Gonzalez Tribute,Caramelo de Cuba,22-12-2023,21:00,AC Hotel Recoletos ,40.4214709,-3.689556603,Jazz,6,25.00,,https://conciertos.club/madrid/conciertos/48820-a-jerry-gonzalez-tribute-caramelo-de-cuba/1703275200
Felix Rossy,Felix Rossy,25-04-2024,21:00,Tempo Audiophile Club,40.425258,-3.711881275,Jazz,4,12.00,,https://conciertos.club/madrid/conciertos/56510-felix-rossy
Alana Sinkey,Alana Sinkey,21-12-2023,21:00,AC Hotel Recoletos ,40.4214709,-3.689556603,Jazz,7,20.00,,https://conciertos.club/madrid/conciertos/48819-alana-sinkey
Jaco Pastorius Big Band,Jaco Pastorius,03-12-2023,22:30,Cafe Berlin ,40.41962114,-3.707964461,Jazz,6,15.00,,https://conciertos.club/madrid/conciertos/55831-jaco-pastorius-big-band
